,title,time
67,"한국조선해양, 올해 수주 목표 149억 달러로 설정",2021-01-04 15:10:22
68,"한국조선해양·삼성重, 새 해 첫 수주 낭보..'글로벌 1위' 저력(종합)",2021-01-05 13:40:35
69,"한국조선해양, LNG선 등 3척 '2880억원' 규모 선박 수주",2021-01-11 10:55:01
70,"한국조선해양, 2000억 규모 초대형 원유운반선 2척 수주",2021-01-12 11:04:21
71,"한국조선해양, 연초 수주 '잭팟'…2주 새 1조3000억 돌파",2021-01-15 11:45:51
72,"한국조선해양 ""저가수주 다소 해소… LOI 물량만 77억달러""",2021-01-18 09:07:08
73,"한국조선해양, 875억 규모 LPG선 1척 수주",2021-01-19 18:08:30
74,"한국조선해양, 세계 첫 ‘LNG운반선 가상 시운전’ 기술 개발",2021-01-25 17:34:05
75,"한국조선해양, 5000억원 규모 미얀마 해양플랜트 본계약 체결",2021-01-27 14:59:28
76,"한국조선해양, 중형 선박 5척 수주… 2600억원 규모",2021-02-03 11:21:20
77,"한국조선해양, 작년 영업익 744억원…전년 比 74% 감소",2021-02-04 15:17:24
78,"한국조선해양, '환율 타격' 영업익 급감 ""올해는 나아질 것""",2021-02-04 16:36:38
79,"한국조선해양, 1520억원 규모 선박 3척 수주",2021-02-08 11:55:00
80,"한국조선해양, 컨테이너선 2척 2천400억원에 수주",2021-02-10 11:28:16
81,"한국조선해양, 선박 9척 5,400억원 규모 수주",2021-02-22 14:24:05
82,"한국조선해양, 5700억원 규모 '컨로선' 6척 수주",2021-02-24 11:29:29
83,"조선업계, 연초 수주랠리…한국조선해양·삼성重 목표 20% 달성",2021-03-01 16:02:58
84,"한국조선해양, 조선업 브랜드 평판 1위",2021-03-03 09:56:48
85,'수주대박' 한국조선해양…올들어 벌써 3조,2021-03-04 17:55:01
86,흥행 계속된다…한국조선해양 8.3천억·삼성중공업 7.9천억 수주,2021-03-09 11:53:13
87,"한국조선해양, 선박 10척· 8230억원 수주",2021-03-15 11:00:51
88,"두산퓨얼셀-한국조선해양, 선박용 연료전지 개발 맞손",2021-03-18 13:36:02
89,"권오갑 현대重지주 회장, 한국조선해양 사내이사로 재선임",2021-03-24 14:03:24
90,"한국조선해양, 초대형컨선 5척 6370억 수주",2021-03-26 13:46:12
91,"한국조선해양, '수중방사소음 인증' 유조선 첫 인도",2021-03-31 11:01:40
