,title,time
61,"[ET투자뉴스]화승엔터프라이즈, ""부스트 라인으로 이…"" 매수-리딩투자증권",2018-06-05 10:09:06
62,"화승엔터프라이즈, 전일 대비 약 5% 상승한 11,850원",2018-06-11 14:14:08
63,"화승엔터프라이즈, 전일 대비 약 -6% 하락한 11,250원",2018-06-12 12:15:10
64,"화승엔터프라이즈, 전일 대비 약 -7% 하락한 10,400원",2018-06-22 11:12:59
65,"<유>화승엔터프라이즈, 전일 대비 7.08% 상승.. 일일회전율은 0.45% 기록",2018-06-26 15:14:03
66,"화승엔터프라이즈, 전일 대비 약 -4% 하락한 11,000원",2018-06-27 10:17:41
67,"화승엔터프라이즈, 전일 대비 약 -3% 하락한 10,950원",2018-07-02 10:15:59
68,"화승엔터프라이즈, 전일 대비 약 5% 상승한 11,400원",2018-07-04 13:08:18
69,"화승엔터프라이즈, 전일 대비 약 -7% 하락한 10,600원",2018-07-05 10:08:18
70,"[ET투자뉴스]화승엔터프라이즈, ""고마진 제품 출하 …"" BUY-대신증권",2018-07-06 09:02:08
71,"[ET투자뉴스]화승엔터프라이즈, ""독보적인 성장세, …"" BUY(유지)-DB금융투자",2018-07-12 10:46:11
72,"[한경로보뉴스] '화승엔터프라이즈' 5% 이상 상승, 2018.1Q, 매출액 1,845억(+11.4%), 영업이익 61억(-20.9%)",2018-07-18 14:35:06
73,"[한경로보뉴스] '화승엔터프라이즈' 5% 이상 상승, 2018.1Q, 매출액 1,845억(+11.4%), 영업이익 61억(-20.9%)",2018-07-24 15:01:06
74,[fnRASSI]화승엔터프라이즈(241590) 현재 8.22% ↑,2018-08-01 14:35:10
75,"화승엔터프라이즈, 전일 대비 약 7% 상승한 12,400원",2018-08-03 11:07:50
76,"화승엔터프라이즈, 전일 대비 약 4% 상승한 12,400원",2018-08-07 13:07:40
77,"[한경로보뉴스] '화승엔터프라이즈' 5% 이상 상승, 외국계 증권사 창구의 거래비중 12% 수준",2018-08-14 10:10:58
78,"[ET투자뉴스]화승엔터프라이즈, ""Adidas의 호실…"" BUY(유지)-대신증권",2018-08-16 16:21:53
79,"[한경로보뉴스] '화승엔터프라이즈' 5% 이상 상승, 2018.2Q, 매출액 2,323억(+31.8%), 영업이익 116억(-5.2%)",2018-08-23 15:26:42
80,"[ET투자뉴스]화승엔터프라이즈, ""본격적인 제품믹스 …"" BUY(TP 유지)-리딩투자증권",2018-09-03 13:39:09
81,"화승엔터프라이즈, 전일 대비 약 3% 상승한 14,250원",2018-09-05 10:07:39
82,"[한경로보뉴스] '화승엔터프라이즈' 5% 이상 상승, 본격적인 제품믹스 개선 시작 - 리딩투자증권, BUY(TP 유지)",2018-09-07 13:09:45
