날짜,당기금액,전기금액,label,변동량,최종
20200330,"396,821,062,4651,092,524,543,138","627,901,873,332900,422,759,591",0,1,0
20200515,"134,874,581,865327,064,990,926","87,585,903,290257,173,889,072",0,0,1
20200814,"90,682,203,810253,778,572,169","27,756,852,975278,935,286,566",1,1,1
20201113,"235,342,965,699302,306,038,339","85,268,053,088310,784,330,770",0,1,0
20210316,"844,996,977,1491,196,924,543,585","396,821,062,4651,092,524,543,138",1,1,1
20160516,"448,026,000,000428,034,000,000","1,295,456,000,0001,267,247,000,000",1,1,1
20160816,"286,132,000,000284,371,000,000","1,108,410,000,0001,134,190,000,000",1,0,0
20161114,"597,751,000,000465,852,000,000","1,048,362,000,0001,031,765,000,000",1,0,0
20170331,"2,960,483,000,0002,655,022,000,000","4,323,595,000,0004,019,080,000,000",0,0,1
20170515,"1,898,678,000,0001,872,337,000,000","448,026,000,000428,034,000,000",0,1,0
20170814,"2,468,509,000,0002,437,544,000,000","286,132,000,000284,371,000,000",0,1,0
20171114,"3,055,529,000,0002,938,555,000,000","597,751,000,000465,852,000,000",0,1,0
20180515,"3,121,329,000,0003,194,653,000,000","1,898,678,000,0001,872,337,000,000",1,0,0
20180615,"10,642,219,000,00010,110,797,000,000","2,960,483,000,0002,655,022,000,000",0,0,1
20180814,"4,328,543,000,0004,205,829,000,000","2,468,509,000,0002,437,544,000,000",1,1,1
20181114,"4,692,193,000,0004,611,144,000,000","3,055,529,000,0002,938,555,000,000",1,0,0
20190404,"15,539,984,000,00015,407,086,000,000","10,642,219,000,00010,110,797,000,000",1,0,0
20190515,"1,102,130,000,000944,276,000,000","3,121,329,000,0003,194,653,000,000",0,0,1
20190814,"537,025,000,000377,235,000,000","4,328,543,000,0004,205,829,000,000",1,0,0
20191114,"495,484,000,000418,687,000,000","4,692,193,000,0004,611,144,000,000",1,1,1
20200330,"2,016,391,000,0001,484,294,000,000","15,539,984,000,00015,407,086,000,000",1,1,1
20200515,"649,050,000,000691,938,000,000","1,102,130,000,000944,276,000,000",1,1,1
20200814,"1,264,260,000,0001,203,627,000,000","537,025,000,000377,235,000,000",0,1,0
20201116,"1,077,862,000,000888,283,000,000","495,484,000,000418,687,000,000",0,1,0
20210330,"4,758,914,000,0004,217,841,000,000","2,009,078,000,0001,476,981,000,000",1,1,1
20160516,"-174,900,547,508-111,421,367,129","-133,051,464,79115,873,926,766",1,0,0
20160923,"-250,834,163,843-236,310,814,141","-79,554,559,140-128,314,070,971",0,0,1
20161114,"510,824,479,020427,956,822,465","-507,492,207,395-510,316,684,103",1,1,1
20170331,"-556,844,430,587-591,360,923,611","-562,967,287,220-407,682,308,362",0,1,0
20170511,"559,173,503,063563,122,200,081","-174,900,547,508-111,421,367,129",1,0,0
20170810,"-200,325,760,108-210,096,083,637","-250,834,163,843-236,310,814,141",0,1,0
20171114,"61,634,378,86975,731,568,563","510,824,479,020427,956,822,465",1,0,0
20180515,"-10,035,676,72123,312,672,872","559,173,503,063563,122,200,081",0,0,1
20180814,"-304,704,435,565-275,539,831,939","-200,325,760,108-210,096,083,637",1,0,0
20190401,"801,897,024,815907,879,961,829","-556,844,430,587-591,360,923,611",1,1,1
20190401,"257,250,596,724267,814,075,750","61,634,378,86975,731,568,563",0,1,0
20190515,"-61,829,350,880-34,237,214,353","-10,035,676,72123,312,672,872",1,0,0
20190814,"-396,298,893,446-380,778,724,872","-304,704,435,565-275,539,831,939",1,0,0
