,title,time
64,"[Hot-Line] ""LG생활건강, 생활용품·음료 부문 성장세 둔화""",2017-09-29 07:53:59
65,LG생활건강 3분기 영업익 2527억원…역대 3분기 최대치,2017-10-24 14:37:44
66,"LG생활건강, 태극제약 인수…446억원에 지분 80% 취득",2017-11-02 21:09:24
67,"제주개발공사-LG생활건강, 제주 외 위탁판매 계약",2017-11-13 15:38:01
68,`이영애 화장품`에 40억 투자한 LG생활건강…왜?,2017-11-22 14:56:24
69,"LG생활건강, `협력회사`와 상생·소통 경영 강화",2017-11-30 08:46:18
70,[무역의 날 54돌] 4억불 수출탑 / LG생활건강,2017-12-05 04:11:20
71,"LG생활건강, 숙취해소 음료 시장 공략",2017-12-07 14:21:29
72,"LG생활건강 더페이스샵, `그린 패키징 공모전 우수상` 수상",2017-12-13 10:07:04
73,"LG생활건강, `후 공진향: 미 궁중 팩트 스페셜 에디션` 출시",2017-12-14 09:24:08
74,"LG생활건강 빌리프, 음원업체 `NHN벅스`와 손잡고 디지털마케팅 강화",2017-12-20 14:22:51
75,"LG생활건강 CNP차앤박, 아이유 새 모델 발탁…""브랜드 입지 강화""",2017-12-22 14:11:17
76,"`사드`도 이겨낸 LG생활건강 후, 지난해 매출 1조4000억 돌파",2018-01-08 09:11:21
77,"LG생활건강 수려한, 효비담 라인 10주년 맞아 리뉴얼 출시",2018-01-16 09:00:18
78,"LG생활건강, 아시아나와 이색 콜라보",2018-01-22 14:05:49
79,"LG생활건강, 사드 뚫고 지난해 사상 최대 실적…매출 6조원 돌파(종합)",2018-01-23 14:08:40
80,"[Hot-Line] ""LG생활건강, 생활용품·음료 부문 4분기 실적 부진""",2018-01-24 08:19:23
81,"LG생활건강, `빌려쓰는 지구스쿨` 참여 중학교·대학생 기자단 모집",2018-02-02 09:35:39
82,[유가증권시장 공시] LG생활건강 / 현대상선,2018-02-13 17:49:46
83,"LG생활건강 오휘, 환절기 피부에 영양 보호막",2018-02-22 04:04:05
84,"[Hot-Line] ""LG생활건강, 고가 브랜드 중국 등 글로벌 수요 확대""",2018-02-27 08:51:29
85,"LG생활건강, 후 `비첩 3-STEP 마스크` 출시",2018-03-06 09:13:05
86,사드가 휩쓴 韓 뷰티업계 판도변화 LG생활건강 3년 만에 화장품 시장 선두,2018-03-08 16:31:09
87,"LG생활건강 더페이스샵, 코카콜라를 입다",2018-03-12 08:35:07
88,"LG생활건강, 강유미와 함께 `네이처컬렉션 토크` 콘텐츠 협업",2018-03-15 15:24:55
89,"LG생활건강, 일체형 `오휘 미라클 모이스처 브러싱 클렌저` 출시",2018-03-21 09:41:00
90,"LG생활건강, 빌리프 아쿠아 밤·모이스춰라이징 밤 미스트 2종 출시",2018-03-22 10:11:01
91,"LG생활건강, `히말라야 핑크솔트 담은 치약` 출시",2018-03-27 10:11:01
92,"LG생활건강, VDIVOV `러브 시그널 컬렉션` 출시",2018-03-29 13:42:01
93,"[Hot-Line] ""LG생활건강, 1분기 화장품 두자릿수 성장""…목표가↑",2018-04-12 08:02:01
94,"LG생활건강 더페이스샵, 브랜드 모델에 `GOT7(갓세븐)` 발탁",2018-04-17 08:54:07
95,"[Hot-Line] ""LG생활건강, 고가 화장품 고성장세 유지""…목표가 ↑",2018-04-19 08:42:02
96,"역대 최대실적 달성한 LG생활건강, `후`·`숨`이 이끌었다(종합)",2018-04-24 14:30:02
97,"LG생활건강, 어린이 건강 뮤지컬 `반짝반짝 페리오` 개막",2018-04-25 09:52:02
98,"LG생활건강 후, 2018 궁중 문화 캠페인 전개",2018-04-27 11:19:04
99,"LG생활건강 ""웅진식품 인수 사실무근…계획도 없어""",2018-05-10 14:55:02
100,"LG생활건강, 궁중 백자의 기품 `후 비첩 순환 에센스 에디션` 출시",2018-05-31 15:30:06
101,"LG생활건강 `히말라야 핑크솔트 치약`, 차세대 글로벌 흥행 예고",2018-06-05 16:28:02
102,"LG생활건강, 홍콩에서 `후(后) 궁중연향` 개최…""글로벌 브랜드 위상""",2018-06-22 10:35:03
103,[2018 상반기 히트상품] LG생활건강 `숨37°로시크숨마 엘릭서크림`,2018-06-26 04:03:03
104,"LG생활건강, 동반성장지수 4년 연속 `최우수`",2018-06-27 15:53:03
105,"[Hot-Line] ""LG생활건강, 프리미엄 사업이 이끈 2분기""…목표가↑",2018-07-11 08:14:05
106,LG생활건강 `펌핑치약`…1500만개 판매 돌파,2018-07-23 13:52:07
107,LG생활건강 `더 히스토리 오브 후` 피부·입술 우아하게…왕후의 품격이 저절로,2018-08-30 04:12:34
108,"[Hot-Line] ""LG생활건강, 면세 채널 이익 기여도 확대…목표가↑""",2018-09-03 08:55:25
109,[위클리 신상품] LG생활건강 크림 `숨37°`,2018-09-07 17:08:46
110,"[추석 선물] LG생활건강, 브랜드별 베스트셀러만 모아 `풍성`",2018-09-13 04:03:05
111,[위클리 신상품] LG생활건강 `케어존…` 세럼,2018-09-14 17:09:15
112,"[Hot-Line] ""LG생활건강, 中 매출 호조에 힘입어 성장 기대감↑""",2018-10-15 08:37:01
113,"[Hot-Line] ""LG생활건강, 실적 증가 속도 둔화""…목표가↓",2018-10-19 08:57:56
114,"LG생활건강, 3분기 영업익 2775억원…사상 최대 실적",2018-10-23 14:28:18
