,title,time
72,"기아차, 엄홍길휴먼재단과 휴먼스쿨 협약 체결",2016-05-13 11:17:04
73,"기아차 멕시코 공장 가동, K3 연 10만대 생산",2016-05-16 09:07:19
74,기아차 록수장학회 후원금 전달,2016-05-17 14:53:46
75,[월드 IT쇼 첫날] '차의 미래' 국내 최대 IT쇼에서 선보인 기아차,2016-05-17 18:33:04
76,현대기아차 사내 발명대회…아이디어 2천여건 쏟아져,2016-05-19 09:07:37
77,"[오늘의 자동차]기아차, 대학생 참여형 사회공헌활동 참가자 모집",2016-05-20 09:42:03
78,현대기아차 중국 시장점유율 9% 넘었다,2016-05-23 09:18:18
79,"기아차, 장애인과 함께 하는 문화나들이",2016-05-25 13:53:54
80,"기아차, SKT와 손잡고 자동차용 T맵 서비스 개발",2016-05-26 11:37:56
81,"기아차, 부산 정보 담은 씨티북 '더 스트리트' 출간",2016-05-30 11:26:23
82,현대기아차 유럽 최대 스포츠 이벤트 '유로 2016' 후원,2016-05-31 09:13:18
83,"기아차 K5 PHEV 공개…""2020년까지 친환경차 14종 출시""",2016-06-02 11:48:00
84,"대신證 ""현대기아차그룹, 판매량 늘었지만 투자환경은 다소 밋밋""",2016-06-03 10:36:03
85,기아 스포티지 해외서 판매 돌풍…월간 첫 5만대 돌파,2016-06-07 06:43:00
86,"한화, 기아 꺾고 5연승…윤규진 4,263일 만에 승리",2016-06-07 22:32:03
87,"현대-기아차, 5월 中판매 두자릿수 증가",2016-06-09 03:13:03
88,"기아차, 미국서 소비자 만족도 1위 올라",2016-06-10 06:10:00
89,"기아차, 2년 연속으로 투명회계대상 수상",2016-06-14 09:56:03
90,"광주시-기아차, 챔피언스필드 운영손익 '줄다리기'",2016-06-15 15:29:49
91,"기아차, 노사 손잡고 지역사회 봉사활동",2016-06-17 11:06:03
92,"친정 돌아온 기아 서동욱, 시원한 만루홈런",2016-06-20 08:00:08
93,"현대차그룹, 현대기아차 중국 생산·판매조직 일원화",2016-06-21 06:30:02
94,"기아차, 전국 92개 사회복지관 차량 정비 지원",2016-06-23 09:18:04
95,차도 날려버린 中 초강력 토네이도…기아차공장은 피해 없어,2016-06-24 09:58:22
96,"현대기아차그룹 노조, 7월 22일 총파업 투쟁",2016-06-27 19:34:18
97,현대기아 中시장 점유율 5개월만에 플러스 성장,2016-06-30 06:10:00
98,기아차 상반기 판매 내수 14.1%↑ 해외 8.2%↓,2016-07-01 15:13:07
99,"기아 김광수 ""넥센 잡는다""",2016-07-03 20:39:42
100,"기아차 ""7월에 모닝 사면 스마트TV 사은품""",2016-07-05 11:15:40
101,"서재응, 아들과 함께 기아 자동차 광고 촬영",2016-07-07 11:06:13
102,"현대기아차, 수해차량 무상점검 등 특별지원",2016-07-11 11:30:15
103,"가성비 좋은 2017년형 기아 K5, 2265만원에 출시…상품성↑가격↓",2016-07-12 10:15:05
104,"기아차, 미국서 형님자리 넘본다…현대차 '바짝 추격'",2016-07-13 14:10:04
105,기아차 화성공장 사회공헌사업 기금 1억8천만원 전달,2016-07-14 11:41:56
106,"기아차 ""K5 스페셜 트림 타고 여름 휴가 떠나세요""",2016-07-15 09:01:02
107,"현대·기아차,노후경유차 교체시 최대 120만원 차값 낮춘다",2016-07-17 10:23:04
108,"기아차 2017년형 K3 시판…""가격 내리고 상품성 강화""",2016-07-19 11:26:52
109,현대모비스 벨기에 물류허브...현대기아차 판매에 뒷심,2016-07-20 11:35:15
110,현대기아차 주요 고속도로서 하계 무상점검 서비스,2016-07-25 11:18:32
111,현대·기아차 설계도면 유출한 협력업체 직원들 '집유',2016-07-26 05:47:00
112,"[종합2보]기아차, 상반기 영업익 1조4045억원…전년比 20.8% ↑",2016-07-27 11:57:02
113,"기아차, 美상품성만족도 '3위', 현대차 9위로 하락",2016-07-28 09:58:25
114,"'노수광 3안타 3타점', 기아 kt와의 3연전 싹쓸이",2016-07-28 21:55:03
115,"기아차, 7월 22만9007대 판매…전년 동기比 2.3%↓(1보)",2016-08-01 15:01:46
116,"현대·기아차, 7월 미국서 SUVㆍ소형차 판매 '쑥쑥'",2016-08-03 04:03:41
117,"기아차 ""2017 K5 직접 보고 선물 받아가세요""",2016-08-04 08:48:42
118,"기아차 임직원, 여름휴가 대신 말라위서 봉사활동",2016-08-08 09:11:05
119,"현대·기아, 중국서 정비만족도 상위권…中현지업체 무서운 추격",2016-08-09 06:31:00
120,주심의 건강이상으로 지연되는 두산-기아 전,2016-08-09 20:44:47
121,"기아차, 테니스대회 호주오픈 '볼키즈' 20명 모집",2016-08-11 11:14:51
122,"기아차 K5 모바일 앱, 레드닷 디자인상 수상",2016-08-15 08:07:08
123,"기아차 박한우 ""인도공장 급하지 않아…쉽지 않을 것""(종합)",2016-08-17 09:16:42
124,"[방산 현장을 가다]③ ""험비와 붙어도 자신있다""...기아차 한국형 전술차량 '도전장'",2016-08-17 16:45:03
125,순천경찰 김성한 전 기아 타이거즈 감독 특강,2016-08-19 13:53:04
126,스포티해졌네…기아차 '더뉴 쏘울' 출시,2016-08-22 09:36:55
127,"현대·기아차, 추석 귀성차량 200대 쏜다",2016-08-23 11:42:44
128,기아 스포티지 2017년형 출시…2320만∼2910만원,2016-08-25 14:25:48
129,"기아차 광주공장, '2017년형 스포티지' 출시",2016-08-26 11:33:04
130,"기아차, 하반기 대졸 신입 및 동계인턴 모집 “지원서 삭제/축소”",2016-08-29 09:15:05
131,"기아차, 카카오톡으로 고객과 실시간 소통한다",2016-08-30 11:25:53
132,"현대·기아차, `제네시스` 성공적 론칭으로 글로벌 名車 반열에",2016-08-31 04:02:02
133,기아차 에티오피아 빈곤지역에 중등학교 건립,2016-09-02 09:00:26
134,"기아차, `2017 쏘렌토` 출시",2016-09-05 14:18:02
135,"현대기아, 추석연휴 고속도로 휴게소 29곳서 무상점검",2016-09-06 11:26:35
136,"[포토]기아차 시흥서비스센터, 금천구에 400만원 후원",2016-09-07 07:03:50
137,"현대·기아차, 미주 최대공장 준공",2016-09-08 06:08:03
138,"기아차, 야구장서 자율주행기술 시연",2016-09-09 09:58:24
139,車 생산·내수·수출 두자릿수 '뒷걸음'..현대·기아 '빨간불',2016-09-13 11:01:03
140,"기아, 한화 상대 2연승…5위 굳히기 돌입",2016-09-19 22:55:03
141,현대기아차 글로벌 생산능력 900만대 시대 연다,2016-09-22 06:10:01
142,기아차 38개국 해외고객 한국 초청행사 열어,2016-09-23 08:58:24
143,"SK, 한화 꺾고 9연패 탈출…2.5G차 기아 추격",2016-09-25 22:09:22
144,현대기아차 8개 차종 中 고객만족도 조사서 1위,2016-09-27 11:44:25
145,"기아 김선빈, 안치홍과 함께 키스톤으로 출격…무려 725일 만에",2016-09-27 17:33:04
146,中 신차 품질조사서 현대차 2위·기아차 4위,2016-09-29 17:37:03
147,기아차 '에코다이나믹스 원정대' 참가자 모집,2016-10-04 11:19:24
148,"기아차, 9월 판매량 전년比 3.1%↑…파업 여파로 내수 발목(1보)",2016-10-04 15:39:45
