,title,time
66,"손길승 SK텔레콤 명예회장, 강제추행 혐의 조사",2016-05-25 13:19:43
67,"SK텔레콤, GTB어워드 무선네트워크혁신상 수상",2016-05-26 09:53:04
68,"SK텔레콤, 국내 최초 대구 전역 IoT 전용망 구축",2016-05-30 10:11:04
69,SK텔레콤 T멤버십 2배 적립 이벤트,2016-05-31 09:16:10
70,"SK텔레콤, 장애인 전용 요금제 개편",2016-06-02 09:01:52
71,손길승 SK텔레콤 명예회장 기소의견으로 검찰에 송치,2016-06-03 11:41:03
72,"""SK텔레콤, 무료 '골드번호' 쏜다""…신청자 7만5000명 몰려",2016-06-06 12:08:47
73,"SK텔레콤, 페이스북·인텔 등과 5G 협력 논의",2016-06-08 11:25:17
74,"""현행 법제선 SK텔레콤과 CJ헬로비전 합병 규제에 공백""",2016-06-10 14:00:47
75,"SK텔레콤, 승강전 출신 MVP에게 한 수 지도?",2016-06-13 07:36:05
76,"[롤챔스] SK텔레콤 '블랭크' 강선구, MVP전 선발 출전",2016-06-13 19:44:03
77,"SK텔레콤, 'T페이' 출시 3달만에 가입자 50만명 넘어",2016-06-15 15:23:03
78,심사 지연에 악성 루머까지…SK텔레콤 '이중고',2016-06-19 15:19:37
79,"SK텔레콤, 원투씨엠과 한·중 O2O 플랫폼 만든다",2016-06-22 10:06:11
80,'15만명 고객 정보' 무단사용…SK텔레콤 항소심도 유죄(종합),2016-06-23 14:29:47
81,"SK텔레콤, 팬택 신작 ‘스카이 IM-100’ 예약판매 시작",2016-06-24 09:29:04
82,"SK텔레콤, 스마트홈 생태계 넓힌다",2016-06-27 10:05:07
83,"中 2대 이통사, SK텔레콤 육성벤처 2곳에 총 18억원 투자",2016-06-29 10:29:04
84,"SK텔레콤, 137개 대기업중 '동반성장' 최우수 등급",2016-06-30 09:50:08
85,"SK텔레콤, IoT 전국 전용망 세계 최초 구축..""협력사 생태계 조성""(종합)",2016-07-04 15:14:08
86,"SK텔레콤, 해외 로밍 서비스 개편",2016-07-06 08:59:04
87,"SK텔레콤, 보급형 스마트폰 'LG X5' 단독 출시",2016-07-08 09:42:28
88,"SK텔레콤, 제주도 지역 T멤버십 혜택 강화",2016-07-12 09:13:52
89,"SK텔레콤, ‘韓-EU’ 간 사물인터넷 국제 로밍 추진",2016-07-14 10:45:07
90,"[스타리그] SK텔레콤 박령우 ""개인리그는 과감하게 직진""",2016-07-14 20:14:04
91,"SK텔레콤 ""공정위 인수합병 불허 결정 수용""(종합)",2016-07-18 12:16:46
92,SK텔레콤 'T맵' 타통신사 고객에게 무료 개방,2016-07-19 09:24:12
93,"SK텔레콤-유니티, 5G 공모전 개최",2016-07-20 09:02:03
94,"[롤챔스] 최병훈 SK텔레콤 감독, ""ROX, 남은 경기 다 이길 듯...우리만 신경쓰겠다""",2016-07-20 19:18:04
95,여름 휴가철 트래픽 특별 관리 나선 SK텔레콤,2016-07-26 11:12:04
96,"SK텔레콤, 3차원 AR·VR 솔루션 개발 나선다",2016-07-27 08:51:48
97,"[종합]SK텔레콤, 2분기 영업이익 4074억원…전년比 1.34%↓",2016-07-28 09:59:30
98,"‘설현과 가상 데이트’ SK텔레콤, 360도 VR 영상 제작",2016-08-01 11:07:03
99,"SK텔레콤, 간편 본인확인 서비스 ‘T인증’ 출시",2016-08-02 09:28:03
100,"SK텔레콤·KT, 6~18일‘갤럭시노트7’ 사전판매 돌입",2016-08-04 09:38:03
101,"SK텔레콤 통화플랫폼 'T전화', 가입자 1000만명 돌파",2016-08-08 09:18:25
102,"SK텔레콤, 청라 한양수자인에 스마트홈 공급",2016-08-09 09:05:28
103,"SK텔레콤, 로라(LoRa) 세계 총회 10월 서울서 개최",2016-08-11 13:51:05
104,"[프로리그 통합준PO] SK텔레콤, 이신형 맹활약에 2-1 리드",2016-08-14 19:52:03
105,"SK텔레콤-인텔, IoT 기기 공동개발 MOU 체결",2016-08-17 11:20:02
106,SK텔레콤-하나금융지주 “모바일 생활금융 혁신”,2016-08-18 14:48:06
107,"SK텔레콤, T전화·T맵 이어 클라우드도 개방..플랫폼사업자 변신 가속화",2016-08-19 11:16:04
108,"SK텔레콤, 커넥티드카 사업 시동",2016-08-22 15:22:14
109,"SK텔레콤, EBS와 '맞손'… VR·AR 활용한 체험형 교육 콘텐츠 만든다",2016-08-23 12:48:04
110,"SK텔레콤-AJ네트웍스, 사무기기 렌탈사업에 IoT전용망 접목",2016-08-24 10:20:10
111,"SK텔레콤, 냉동·냉장차량 온도 유지하는 솔루션 선보여",2016-08-25 15:00:41
112,"[스타리그] SK텔레콤 박령우 ""결승에는 더 박령우답게 플레이하겠다""",2016-08-25 20:42:04
