"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 12월 01일","1,295,000","1,294,000","1,298,000","1,287,000","256.89K","0.62%"
"2014년 11월 30일","1,287,000","1,287,000","1,287,000","1,287,000","-","0.00%"
"2014년 11월 28일","1,287,000","1,295,000","1,296,000","1,274,000","194.43K","1.82%"
"2014년 11월 27일","1,264,000","1,273,000","1,301,000","1,264,000","844.13K","5.25%"
"2014년 11월 26일","1,201,000","1,190,000","1,211,000","1,182,000","222.73K","0.92%"
"2014년 11월 25일","1,190,000","1,224,000","1,224,000","1,190,000","352.66K","-2.46%"
"2014년 11월 24일","1,220,000","1,247,000","1,248,000","1,210,000","204.60K","-0.25%"
"2014년 11월 23일","1,223,000","1,223,000","1,223,000","1,223,000","-","0.00%"
"2014년 11월 21일","1,223,000","1,219,000","1,226,000","1,217,000","186.56K","1.07%"
"2014년 11월 20일","1,210,000","1,206,000","1,220,000","1,206,000","115.28K","-0.66%"
"2014년 11월 19일","1,218,000","1,238,000","1,238,000","1,212,000","211.76K","-0.16%"
"2014년 11월 18일","1,220,000","1,220,000","1,227,000","1,215,000","202.86K","1.24%"
"2014년 11월 17일","1,205,000","1,190,000","1,220,000","1,182,000","191.02K","0.92%"
"2014년 11월 16일","1,194,000","1,194,000","1,194,000","1,194,000","-","0.00%"
"2014년 11월 14일","1,194,000","1,201,000","1,201,000","1,180,000","181.72K","-0.50%"
"2014년 11월 13일","1,200,000","1,228,000","1,232,000","1,199,000","230.34K","-2.44%"
"2014년 11월 12일","1,230,000","1,231,000","1,234,000","1,219,000","181.53K","-0.08%"
"2014년 11월 11일","1,231,000","1,255,000","1,261,000","1,227,000","224.14K","-2.92%"
"2014년 11월 10일","1,268,000","1,226,000","1,269,000","1,222,000","352.53K","5.14%"
"2014년 11월 09일","1,206,000","1,206,000","1,206,000","1,206,000","-","0.00%"
"2014년 11월 07일","1,206,000","1,218,000","1,218,000","1,195,000","107.91K","0.17%"
"2014년 11월 06일","1,204,000","1,198,000","1,210,000","1,193,000","169.39K","0.17%"
"2014년 11월 05일","1,202,000","1,215,000","1,225,000","1,194,000","187.77K","-1.23%"
"2014년 11월 04일","1,217,000","1,219,000","1,242,000","1,205,000","237.44K","-1.46%"
"2014년 11월 03일","1,235,000","1,250,000","1,252,000","1,216,000","264.33K","-0.72%"
"2014년 11월 02일","1,244,000","1,244,000","1,244,000","1,244,000","-","0.00%"
