"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 26일","274,500","279,500","280,000","268,000","809.55K","0.00%"
"2020년 06월 25일","274,500","278,500","281,500","273,500","0.01K","-2.83%"
"2020년 06월 24일","282,500","281,500","284,000","275,000","0.12K","0.36%"
"2020년 06월 23일","281,500","278,500","289,000","277,500","0.13K","2.74%"
"2020년 06월 22일","274,000","263,000","276,000","260,500","0.04K","3.98%"
"2020년 06월 21일","263,500","263,500","263,500","263,500","-","0.00%"
"2020년 06월 19일","263,500","267,500","269,500","262,000","910.40K","0.00%"
"2020년 06월 18일","263,500","264,500","266,500","260,500","0.05K","0.19%"
"2020년 06월 17일","263,000","262,500","264,500","262,000","2.54K","0.00%"
"2020년 06월 16일","263,000","260,500","263,000","258,000","892.39K","4.16%"
"2020년 06월 15일","252,500","266,000","271,000","250,000","1.54M","-5.08%"
"2020년 06월 14일","266,000","266,000","266,000","266,000","-","0.00%"
"2020년 06월 12일","266,000","256,500","268,000","256,000","1.68M","0.38%"
"2020년 06월 11일","265,000","264,000","268,000","261,000","0.15K","1.15%"
"2020년 06월 10일","262,000","257,000","263,500","257,000","0.48K","2.95%"
"2020년 06월 09일","254,500","255,500","259,500","252,500","0.23K","-0.78%"
"2020년 06월 08일","256,500","252,500","258,000","248,500","0.13K","2.19%"
"2020년 06월 07일","251,000","251,000","251,000","251,000","-","0.00%"
"2020년 06월 05일","251,000","253,000","253,500","247,500","1.00M","-1.18%"
"2020년 06월 04일","254,000","247,500","256,500","247,000","1.42K","1.80%"
"2020년 06월 03일","249,500","259,500","261,500","247,500","3.71K","-3.85%"
"2020년 06월 02일","259,500","262,500","262,500","257,000","1.50K","-1.70%"
"2020년 06월 01일","264,000","263,500","266,000","259,500","1.08M","0.19%"
"2020년 05월 31일","263,500","263,500","263,500","263,500","-","0.00%"
"2020년 05월 29일","263,500","263,500","267,500","257,500","1.63M","-1.31%"
"2020년 05월 28일","267,000","257,500","270,000","253,000","2.40K","2.50%"
"2020년 05월 27일","260,500","262,500","267,000","257,000","1.90K","-3.52%"
"2020년 05월 26일","270,000","273,000","279,500","261,000","1.19K","0.75%"
"2020년 05월 25일","268,000","250,500","269,500","249,500","3.02K","8.50%"
"2020년 05월 24일","247,000","247,000","247,000","247,000","-","0.00%"
"2020년 05월 22일","247,000","237,500","248,500","235,000","1.88M","4.00%"
"2020년 05월 21일","237,500","237,500","240,000","234,500","1.40M","2.59%"
"2020년 05월 20일","231,500","223,500","234,000","222,500","0.10K","5.23%"
"2020년 05월 19일","220,000","222,000","222,500","214,500","0.19K","-0.45%"
"2020년 05월 18일","221,000","221,500","225,500","219,000","0.91K","-0.23%"
"2020년 05월 17일","221,500","221,500","221,500","221,500","-","0.00%"
"2020년 05월 15일","221,500","228,500","231,500","216,000","1.52M","-1.56%"
"2020년 05월 14일","225,000","216,000","228,000","214,000","0.02K","3.93%"
"2020년 05월 13일","216,500","211,500","216,500","211,500","0.23K","0.93%"
"2020년 05월 12일","214,500","209,000","216,500","206,000","1.56M","3.37%"
"2020년 05월 11일","207,500","207,000","211,500","206,500","1.05M","0.73%"
"2020년 05월 10일","206,000","206,000","206,000","206,000","-","0.00%"
"2020년 05월 08일","206,000","206,500","210,000","204,000","1.40M","0.00%"
"2020년 05월 07일","206,000","199,500","207,500","198,500","2.62M","3.26%"
"2020년 05월 06일","199,500","189,000","200,000","188,000","2.03M","6.97%"
"2020년 05월 05일","186,500","186,500","186,500","186,500","-","0.00%"
"2020년 05월 04일","186,500","181,500","190,000","180,000","1.02M","1.36%"
"2020년 05월 03일","184,000","184,000","184,000","184,000","-","0.00%"
"2020년 04월 29일","184,000","184,000","186,500","182,500","657.14K","-0.54%"
"2020년 04월 28일","185,000","185,500","186,500","181,500","665.91K","0.54%"
