접수번호,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액
20160816001662,매출액,제 49 기반기,2016.01.01 ~ 2016.06.30,"11,542,128,000,000",제 48 기반기,2015.01.01 ~ 2015.06.30,"11,629,590,000,000"
20160816001662,영업이익,제 49 기반기,2016.01.01 ~ 2016.06.30,"1,102,940,000,000",제 48 기반기,2015.01.01 ~ 2015.06.30,"1,274,619,000,000"
20160816001662,법인세차감전 순이익,제 49 기반기,2016.01.01 ~ 2016.06.30,"1,708,001,000,000",제 48 기반기,2015.01.01 ~ 2015.06.30,"1,484,902,000,000"
20160816001662,당기순이익,제 49 기반기,2016.01.01 ~ 2016.06.30,"1,372,965,000,000",제 48 기반기,2015.01.01 ~ 2015.06.30,"1,129,098,000,000"
20161114002002,유동자산,제 49 기3분기말,2016.09.30 현재,"66,941,597,000,000",제 48 기말,2015.12.31 현재,"67,529,210,000,000"
20161114002002,비유동자산,제 49 기3분기말,2016.09.30 현재,"100,139,420,000,000",제 48 기말,2015.12.31 현재,"97,838,736,000,000"
20161114002002,자산총계,제 49 기3분기말,2016.09.30 현재,"167,081,017,000,000",제 48 기말,2015.12.31 현재,"165,367,946,000,000"
20161114002002,유동부채,제 49 기3분기말,2016.09.30 현재,"39,246,047,000,000",제 48 기말,2015.12.31 현재,"41,213,520,000,000"
20161114002002,비유동부채,제 49 기3분기말,2016.09.30 현재,"58,587,686,000,000",제 48 기말,2015.12.31 현재,"57,273,025,000,000"
20161114002002,부채총계,제 49 기3분기말,2016.09.30 현재,"97,833,733,000,000",제 48 기말,2015.12.31 현재,"98,486,545,000,000"
20161114002002,자본총계,제 49 기3분기말,2016.09.30 현재,"69,247,284,000,000",제 48 기말,2015.12.31 현재,"66,881,401,000,000"
20161114002002,매출액,제 49 기3분기,2016.01.01 ~ 2016.09.30,"22,083,670,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"23,429,581,000,000"
20161114002002,영업이익,제 49 기3분기,2016.01.01 ~ 2016.09.30,"1,068,104,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"1,503,919,000,000"
20161114002002,법인세차감전 순이익,제 49 기3분기,2016.01.01 ~ 2016.09.30,"1,494,666,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"1,705,404,000,000"
20161114002002,당기순이익,제 49 기3분기,2016.01.01 ~ 2016.09.30,"1,118,764,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"1,206,018,000,000"
20161114002002,유동자산,제 49 기3분기말,2016.09.30 현재,"20,813,974,000,000",제 48 기말,2015.12.31 현재,"22,098,375,000,000"
20161114002002,비유동자산,제 49 기3분기말,2016.09.30 현재,"44,889,781,000,000",제 48 기말,2015.12.31 현재,"44,879,849,000,000"
20161114002002,자산총계,제 49 기3분기말,2016.09.30 현재,"65,703,755,000,000",제 48 기말,2015.12.31 현재,"66,978,224,000,000"
20161114002002,유동부채,제 49 기3분기말,2016.09.30 현재,"8,335,107,000,000",제 48 기말,2015.12.31 현재,"12,173,086,000,000"
20161114002002,비유동부채,제 49 기3분기말,2016.09.30 현재,"5,347,966,000,000",제 48 기말,2015.12.31 현재,"5,108,374,000,000"
20161114002002,부채총계,제 49 기3분기말,2016.09.30 현재,"13,683,073,000,000",제 48 기말,2015.12.31 현재,"17,281,460,000,000"
20161114002002,이익잉여금,제 49 기3분기말,2016.09.30 현재,"47,815,899,000,000",제 48 기말,2015.12.31 현재,"45,405,798,000,000"
20161114002002,자본총계,제 49 기3분기말,2016.09.30 현재,"52,020,682,000,000",제 48 기말,2015.12.31 현재,"49,696,764,000,000"
20161114002002,매출액,제 49 기3분기,2016.01.01 ~ 2016.09.30,"7,996,646,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"10,060,853,000,000"
20161114002002,영업이익,제 49 기3분기,2016.01.01 ~ 2016.09.30,"23,867,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"818,612,000,000"
20161114002002,법인세차감전 순이익,제 49 기3분기,2016.01.01 ~ 2016.09.30,"208,598,000,000",제 48 기3분기,2015.01.01 ~ 2015.09.30,"1,358,364,000,000"
20170331004820,유동자산,제 49 기,2016.12.31 현재,"72,449,600,000,000",제 48 기,2015.12.31 현재,"67,529,210,000,000"
20170331004820,비유동자산,제 49 기,2016.12.31 현재,"106,386,328,000,000",제 48 기,2015.12.31 현재,"97,838,736,000,000"
20170331004820,자산총계,제 49 기,2016.12.31 현재,"178,835,928,000,000",제 48 기,2015.12.31 현재,"165,367,946,000,000"
20170331004820,유동부채,제 49 기,2016.12.31 현재,"43,609,793,000,000",제 48 기,2015.12.31 현재,"41,213,520,000,000"
20170331004820,비유동부채,제 49 기,2016.12.31 현재,"62,881,557,000,000",제 48 기,2015.12.31 현재,"57,273,025,000,000"
20170331004820,부채총계,제 49 기,2016.12.31 현재,"106,491,350,000,000",제 48 기,2015.12.31 현재,"98,486,545,000,000"
20170331004820,자본총계,제 49 기,2016.12.31 현재,"72,344,578,000,000",제 48 기,2015.12.31 현재,"66,881,401,000,000"
20170331004820,매출액,제 49 기,2016.01.01 ~ 2016.12.31,"93,649,024,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"91,958,736,000,000"
20170331004820,영업이익,제 49 기,2016.01.01 ~ 2016.12.31,"5,193,500,000,000",제 48 기,2015.01.01 ~ 2015.12.31,"6,357,906,000,000"
