corp_code,corp_name,stock_code,modify_date
00163044,한일약품공업,003040,20170630
00543073,굿앤리치부동산공경매투자회사1호,085450,20170630
00160445,한국합섬,025830,20170630
00554468,굿앤리치부동산공경매투자회사2호,088510,20170630
00165565,디에스피이엔티,016040,20170630
00300256,시큐어소프트,037060,20170630
00138491,동부일렉트로닉스,001830,20170630
00102821,고려시멘트,003660,20170630
00377814,베스트플로우,060410,20170630
00364670,쿨투,056020,20170630
00143013,우영,012460,20170630
00263991,모빌링크텔레콤,041310,20170630
00105183,극동제혁,010200,20170630
00173254,한마음상호저축은행,025450,20170630
00101637,그로웰전자,009220,20170630
00124513,부흥,003930,20170630
00139418,알루코,021570,20170630
00154417,퍼시픽글라스,009080,20170630
00119362,아이인프라,008780,20170630
00140353,씨크롭,016970,20170630
00170451,외환신용카드,038400,20170630
00267793,삼화기연,033210,20170630
00260639,대흥멀티미디어통신,037250,20170630
00153852,텔슨정보통신,018180,20170630
00248956,비이티,036820,20170630
00390028,코오롱인터내셔널,063510,20170630
00260888,엔써커뮤니티,037750,20170630
00275710,써미트테크놀로지,039000,20170630
00172103,코리아이앤디,027440,20170630
00263955,트래픽아이티에스,038050,20170630
00261601,호성,035870,20170630
00265254,넥스텔,037220,20170630
00255266,쓰리알,037730,20170630
00259916,그로웰텔레콤,035780,20170630
00131434,서통,001150,20170630
00271352,테크메이트,043690,20170630
00244932,한아시스템,036020,20170630
00348052,엔에스아이,053250,20170630
00367598,케이티씨텔레콤,055810,20170630
00267720,신한SIT,054530,20170630
00147949,스마텔,004190,20170630
00203458,동방라이텍,025690,20170630
00130000,아이텍스필,008030,20170630
00145534,이수세라믹,032180,20170630
00425360,코크렙제2호기업구조조정부동산투자회사,070540,20170630
00141334,영풍산업,002850,20170630
00384452,모닷텔,048150,20170630
00103583,광덕물산,003590,20170630
00162142,동원증권,005890,20170630
00236021,우주통신,054080,20170630
00106483,기라정보통신,019930,20170630
00208374,텔슨전자,027350,20170630
00309983,하이콤정보통신,048540,20170630
00277727,미래에셋굿라이프혼합형자녀를위한펀드5-1,037500,20170630
00136217,한메엔에스,006150,20170630
00229827,이지클럽,038980,20170630
